ParameterName							Min			Max			#levels		Type	cdelta	
plastochronconst[maize]					0.8			0.95		4			0		2
phyllochron[maize]						25			35			4			0		2
finalPhytNum[maize]						10			20			6			1		3
nrShortInternodes[maize]				3			5			3			1		1
wmaxRoot[maize]							10000		50000		4			0		2
wmaxFlower[maize]						200000		400000		4			0		2
wmaxInt[maize]							3000		5000		4			0		2
wmaxLeaf[maize]							4000		6000		4			0		2
teRoot[maize]							1620		1980		4			0		2
teFlower[maize]							900			1100		4			0		2
teInt[maize]							450			550			4			0		2
teLeaf[maize]							450			550			4			0		2
specificInternodeLength[maize]			0.025		0.075		4			0		2
nitro[maize]							1.5			4			4			0		2
LMA[maize]								4			7			4			0		2
leafLife[maize]							2			4			4			0		2
lwRatio[maize]							9.18		11.22		4			0		2
maxWidth[maize]							0.6			0.7			4			0		2
shapeCoeff[maize]						0.7			0.8			4			0		2
leafAngleLower[maize]					40			75			4			0		2
leafAngleUpper[maize]					20			60			4			0		2
leafCurve[maize]						10			100			4			0		2
petioleFraction[maize]					0.0425		0.0575		4			0		2
specificPetioleLength[maize]			2.125		2.875		4			0		2
rankLower[maize]						2			4			3			1  		1
phyllotaxisLower[maize]					110			250			4			0		2
varDelay[maize]							2			6			5			1  		2
seedMass[maize]							250			300			4			0		2
SASmax									10			30			4			0		2
SASk									1			15			4			0		2
tb[maize]								6			10			4			0		2
fallPAR									20			100			4			0		2
reflectancePAR							0.07		0.15		4			0		2
transmittancePAR						0.04		0.15		4			0		2
Ca										300			600			4			0		2
VPD										0.3			3			4			0		2
k2ll_a_SA								0.0396		0.0484		4			0		2
k2ll_b_SA								0.1845		0.2255		4			0		2
Vcmax25_a_SA							27.36		33.44		4			0		2
Vcmax25_b_SA							3.924		4.796		4			0		2
Jmax25_a_SA								89.442		109.318		4			0		2
Jmax25_b_SA								5.175		6.325		4			0		2
Rd25_SA									1.08		1.32		4			0		2
TPU25_a_SA								4.8303		5.9037		4			0		2
TPU25_b_SA								0.837		1.023		4			0		2
rg_SA									0.255		0.345		4			0		2
kNkL_SA									0.2			1			4			0		2
sheathscalefactor						20			40			4			0		2
rm_SA									0.01275		0.01725		4			0		2
fCO2_SA									0.51		0.69		4			0		2
tav_a									9.095		12.305		4			0		2
tav_b									6.4175		8.6825		4			0		2
